datetime,month,day,hour,LocationID,pickups,year,week,dayofweek,isweekend,isholiday,Temperature
2017-01-01 18:00:00,1,1,18,43,180.0,2017,52,6,1,0,43
2017-01-01 19:00:00,1,1,19,4,20.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,12,3.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,13,110.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,24,28.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,41,45.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,42,26.0,2017,52,6,1,0,41
2017-01-01 19:00:00,1,1,19,43,121.0,2017,52,6,1,0,41
2017-01-01 20:00:00,1,1,20,4,30.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,12,2.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,13,73.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,24,35.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,41,47.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,42,18.0,2017,52,6,1,0,42
2017-01-01 20:00:00,1,1,20,43,95.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,4,30.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,12,0.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,13,61.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,24,27.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,41,33.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,42,23.0,2017,52,6,1,0,42
2017-01-01 21:00:00,1,1,21,43,62.0,2017,52,6,1,0,42
2017-01-01 22:00:00,1,1,22,4,21.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,12,1.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,13,45.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,24,31.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,41,53.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,42,20.0,2017,52,6,1,0,41
2017-01-01 22:00:00,1,1,22,43,81.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,4,35.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,12,1.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,13,25.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,24,18.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,41,42.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,42,28.0,2017,52,6,1,0,41
2017-01-01 23:00:00,1,1,23,43,53.0,2017,52,6,1,0,41
2017-01-02 00:00:00,1,2,0,4,23.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,12,1.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,13,10.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,24,19.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,41,47.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,42,21.0,2017,1,0,0,1,40
2017-01-02 00:00:00,1,2,0,43,22.0,2017,1,0,0,1,40
2017-01-02 01:00:00,1,2,1,4,21.0,2017,1,0,0,0,38
2017-01-02 01:00:00,1,2,1,12,1.0,2017,1,0,0,0,38
