datetime,month,day,hour,LocationID,sales,year,week,dayofweek,isweekend,isholiday,Temperature
02-01-2019 16:00,1,2,16,42,18,2019,1,2,0,0,37
02-01-2019 16:00,1,2,16,43,267,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,4,14,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,12,7,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,13,128,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,24,31,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,41,48,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,42,21,2019,1,2,0,0,37
02-01-2019 17:00,1,2,17,43,345,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,4,19,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,12,4,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,13,97,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,24,31,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,41,49,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,42,24,2019,1,2,0,0,37
02-01-2019 18:00,1,2,18,43,178,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,4,7,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,12,2,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,13,118,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,24,28,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,41,29,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,42,11,2019,1,2,0,0,37
02-01-2019 19:00,1,2,19,43,118,2019,1,2,0,0,37
02-01-2019 20:00,1,2,20,4,7,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,12,1,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,13,84,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,24,23,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,41,19,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,42,7,2019,1,2,0,0,38
02-01-2019 20:00,1,2,20,43,95,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,4,9,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,12,0,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,13,72,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,24,18,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,41,19,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,42,7,2019,1,2,0,0,38
02-01-2019 21:00,1,2,21,43,62,2019,1,2,0,0,38
02-01-2019 22:00,1,2,22,4,20,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,12,4,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,13,45,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,24,14,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,41,21,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,42,6,2019,1,2,0,0,39
02-01-2019 22:00,1,2,22,43,62,2019,1,2,0,0,39
02-01-2019 23:00,1,2,23,4,11,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,12,2,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,13,15,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,24,9,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,41,22,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,42,13,2019,1,2,0,0,40
02-01-2019 23:00,1,2,23,43,31,2019,1,2,0,0,40
03-01-2019 00:00,1,3,0,4,10,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,12,1,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,13,17,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,24,6,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,41,21,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,42,17,2019,1,3,0,0,120
03-01-2019 00:00,1,3,0,43,18,2019,1,3,0,0,120
03-01-2019 01:00,1,3,1,4,5,2019,1,3,0,0,120
